Helix.A-Helix,Helix.3-Helix,Helix.5-Helix,Helix.PPII-Helix,Sheet.B-Sheet,Sheet.B-Bridge,Turn.Turn,Turn.Bend,Coil
0,0,0,0,142,2,0,20,46
0,0,0,0,133,0,0,17,60
0,0,0,0,116,8,0,16,70
0,0,0,0,129,4,0,20,57
0,0,0,0,139,2,0,19,50
0,0,0,2,127,3,1,18,59
0,0,0,0,134,1,0,18,57
0,0,0,0,121,2,0,26,61
0,0,0,0,141,1,0,14,54
0,0,0,0,129,4,1,17,59
0,0,0,0,126,2,1,17,64
0,0,0,0,123,3,1,17,66
0,0,0,0,119,4,0,21,66
0,0,0,0,116,4,1,23,66
0,0,0,0,126,2,0,18,64
0,0,0,0,121,5,0,19,65
0,0,0,0,111,9,0,23,67
0,0,0,0,121,3,0,22,64
0,0,0,0,113,1,0,22,74
0,0,0,0,115,4,0,20,71
0,0,0,0,126,3,0,23,58
0,0,0,0,115,5,0,23,67
0,0,0,0,132,1,0,22,55
0,0,0,0,121,3,0,18,68
0,0,0,0,122,3,1,25,59
0,0,0,2,126,5,0,20,57
0,0,0,0,108,9,1,24,68
0,0,0,0,120,4,0,22,64
0,0,0,0,116,3,0,26,65
0,0,0,0,118,3,0,24,65
0,0,0,0,119,4,0,26,61
0,0,0,0,114,7,0,19,70
0,0,0,0,120,5,0,24,61
0,0,0,0,119,2,0,28,61
0,0,0,0,116,5,0,27,62
0,0,0,0,128,4,0,23,55
0,0,0,0,120,3,0,26,61
0,0,0,0,114,8,0,22,66
0,0,0,0,116,3,0,25,66
0,0,0,0,104,10,0,22,74
0,0,0,0,114,6,0,22,68
0,0,0,0,115,5,0,29,61
0,0,0,0,112,4,0,27,67
0,0,0,0,105,8,0,23,74
0,0,0,0,127,4,0,17,62
0,0,0,0,124,4,0,27,55
0,0,0,0,112,8,0,23,67
0,0,0,0,124,1,1,28,56
0,0,0,0,123,1,0,25,61
0,0,0,0,119,0,0,26,65
0,0,0,0,106,7,0,29,68
0,0,0,0,108,5,0,27,70
0,0,0,0,108,7,0,27,68
0,0,0,0,108,10,0,25,67
0,0,0,0,107,12,1,23,67
0,0,0,0,119,7,1,23,60
0,0,0,1,117,6,2,22,62
0,0,0,3,117,7,3,21,59
0,0,0,0,109,11,0,26,64
0,0,0,0,115,8,0,24,63
0,0,0,0,131,5,0,20,54
0,0,0,2,115,6,1,20,66
0,0,0,0,128,7,1,19,55
0,0,0,0,107,9,1,25,68
0,0,0,0,112,8,3,22,65
0,0,0,0,121,5,0,22,62
0,0,0,0,126,2,0,25,57
0,0,0,0,119,4,0,26,61
0,0,0,0,128,3,0,20,59
0,0,0,0,121,2,0,26,61
0,0,0,2,114,3,0,27,64
0,0,0,0,112,7,1,25,65
0,0,0,2,118,4,1,20,65
0,0,0,0,119,1,0,25,65
0,0,0,0,132,3,1,19,55
0,0,0,0,124,5,0,22,59
0,0,0,0,115,7,0,26,62
0,0,0,0,129,5,0,22,54
0,0,0,0,120,6,1,26,57
0,0,0,0,117,6,1,25,61
0,0,0,0,119,7,0,24,60
0,0,0,0,112,12,0,22,64
0,0,0,0,120,8,0,21,61
0,0,0,0,107,7,0,30,66
0,0,0,0,113,8,2,21,66
0,0,0,0,125,3,1,25,56
0,0,0,0,123,9,0,22,56
0,0,0,2,118,7,0,24,59
0,0,0,0,123,4,0,22,61
0,0,0,0,125,6,0,20,59
0,0,0,0,119,4,1,25,61
0,0,0,0,124,9,1,21,55
0,0,0,0,112,5,1,25,67
0,0,0,0,118,4,1,22,65
0,0,0,0,126,3,0,20,61
0,0,0,0,135,6,1,15,53
0,0,0,0,126,3,0,24,57
0,0,0,0,132,4,1,19,54
0,0,0,0,120,5,0,28,57
0,0,0,0,121,5,1,23,60
0,0,0,0,121,4,2,22,61
0,0,0,0,125,3,1,23,58
0,0,0,0,112,8,0,26,64
0,0,0,0,128,2,2,19,59
0,0,0,0,112,3,0,26,69
0,0,0,0,122,1,0,23,64
0,0,0,0,133,0,0,19,58
0,0,0,0,131,0,0,22,57
0,0,0,0,116,6,0,22,66
0,0,0,0,115,3,2,26,64
0,0,0,0,133,2,1,20,54
0,0,0,0,119,8,0,21,62
0,0,0,0,131,2,0,22,55
0,0,0,0,122,6,0,21,61
0,0,0,0,124,4,0,22,60
0,0,0,0,131,3,0,20,56
0,0,0,0,132,3,1,18,56
0,0,0,0,135,1,1,16,57
0,0,0,0,138,1,1,17,53
0,0,0,0,131,2,0,18,59
0,0,0,0,136,2,0,21,51
0,0,0,0,129,1,0,20,60
0,0,0,0,136,3,0,21,50
0,0,0,0,147,3,0,13,47
0,0,0,0,129,3,0,23,55
